timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-04-29T00:00:00.000Z";"2025-04-29T23:59:59.999Z";"2025-04-29T01:48:00.000Z";"2025-04-29T23:16:00.000Z";"2781";2.2951123036;2.311782328;2.2238845265;2.2408010643;2889426360.63;130962501898.61;"2025-04-29T23:59:59.999Z"
"2025-04-28T00:00:00.000Z";"2025-04-28T23:59:59.999Z";"2025-04-28T08:16:00.000Z";"2025-04-28T01:44:00.000Z";"2781";2.2562374472;2.3521917329;2.2270898844;2.2951384594;4354002633.88;134137237948.14;"2025-04-28T23:59:59.999Z"
"2025-04-27T00:00:00.000Z";"2025-04-27T23:59:59.999Z";"2025-04-27T20:46:00.000Z";"2025-04-27T05:31:00.000Z";"2781";2.1931932556;2.2909958654;2.1637949463;2.2562374472;3776527779.08;131865207140.33;"2025-04-27T23:59:59.999Z"
"2025-04-26T00:00:00.000Z";"2025-04-26T23:59:59.999Z";"2025-04-26T07:34:00.000Z";"2025-04-26T05:12:00.000Z";"2781";2.183073528;2.2459084845;2.1823727347;2.1931888378;2524845629.41;128180605860.02;"2025-04-26T23:59:59.999Z"
"2025-04-25T00:00:00.000Z";"2025-04-25T23:59:59.999Z";"2025-04-25T15:26:00.000Z";"2025-04-25T02:58:00.000Z";"2781";2.2045400507;2.2168889027;2.1668884803;2.1830542735;3279550204.58;127478761463.39;"2025-04-25T23:59:59.999Z"
"2025-04-24T00:00:00.000Z";"2025-04-24T23:59:59.999Z";"2025-04-24T16:34:00.000Z";"2025-04-24T08:52:00.000Z";"2781";2.2173596029;2.227351059;2.1233778888;2.2045442606;4208222194.6;128732281187.09;"2025-04-24T23:59:59.999Z"
"2025-04-23T00:00:00.000Z";"2025-04-23T23:59:59.999Z";"2025-04-23T09:08:00.000Z";"2025-04-23T02:01:00.000Z";"2781";2.2154566842;2.2995392819;2.197325431;2.2173558817;5013426738.96;129480868263.74;"2025-04-23T23:59:59.999Z"
"2025-04-22T00:00:00.000Z";"2025-04-22T23:59:59.999Z";"2025-04-22T22:01:00.000Z";"2025-04-22T06:42:00.000Z";"2781";2.0854969708;2.2378690527;2.0689034807;2.2154730743;4054022421.46;129369748912.33;"2025-04-22T23:59:59.999Z"
"2025-04-21T00:00:00.000Z";"2025-04-21T23:59:59.999Z";"2025-04-21T09:06:00.000Z";"2025-04-21T17:08:00.000Z";"2781";2.0770009192;2.1390879433;2.0632604144;2.0855153781;2746051224.63;121780859629.24;"2025-04-21T23:59:59.999Z"
"2025-04-20T00:00:00.000Z";"2025-04-20T23:59:59.999Z";"2025-04-20T00:26:00.000Z";"2025-04-20T11:56:00.000Z";"2781";2.0873341067;2.0925436913;2.0407196005;2.0770009192;1733159089.1;121284739767.43;"2025-04-20T23:59:59.999Z"
"2025-04-19T00:00:00.000Z";"2025-04-19T23:59:59.999Z";"2025-04-19T09:22:00.000Z";"2025-04-19T00:31:00.000Z";"2781";2.0635210069;2.0954350726;2.0593601696;2.0873198356;1445648293.46;121887304301.58;"2025-04-19T23:59:59.999Z"
"2025-04-18T00:00:00.000Z";"2025-04-18T23:59:59.999Z";"2025-04-18T18:31:00.000Z";"2025-04-18T01:04:00.000Z";"2781";2.0664478237;2.0873231349;2.0460365859;2.0635274744;1886497380.54;120497591511.41;"2025-04-18T23:59:59.999Z"
